PLAYER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Box +/-,index_y,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Jordan Poole,76.0,49.0,27.0,30.0,18.5,6.2,13.9,44.8,2.8,7.6,36.4,3.2,3.5,92.5,0.4,3.0,3.4,4.0,2.5,0.8,0.3,2.7,29.4,2.0,0.0,4.3,11186.0,23.0,193.04,87.996848,54.0,10.4,1.9500000000000002,2.15,-3.7499999999999996,0.01099999999999995,0.08049999999999999,0.223,0.5175,0.1605
Julius Randle,72.0,32.0,40.0,35.3,20.1,7.1,17.3,41.1,1.7,5.4,30.8,4.2,5.6,75.6,1.7,8.2,9.9,5.1,3.4,0.7,0.5,2.8,40.2,31.0,1.0,-2.3,9889.285714285714,27.0,205.0142857142857,113.398,63.714285714285715,15.37142857142857,7.914285714285714,2.8857142857142857,-14.885714285714284,0.05714285714285713,0.2044285714285714,0.23957142857142857,0.5134285714285715,0.14985714285714286
Karl-Anthony Towns,74.0,44.0,30.0,33.5,24.600000000000005,8.7,16.4,52.9,2.0,4.9,41.0,5.2,6.3,82.2,2.6,7.2,9.8,3.6,3.1,1.0,1.1,3.6,45.0,40.0,1.0,3.7000000000000006,10120.666666666666,26.0,212.51333333333332,111.88602666666667,68.0,23.400000000000002,11.483333333333334,3.233333333333333,0.3999999999999999,0.09133333333333332,0.25899999999999995,0.26499999999999996,0.6216666666666667,0.1558333333333333
Kevin Durant,55.0,36.0,19.0,37.2,29.899999999999995,10.5,20.3,51.79999999999999,2.1,5.5,38.3,6.8,7.400000000000001,91.0,0.5,6.900000000000001,7.400000000000001,6.400000000000001,3.5,0.9,0.9,2.1,50.29999999999999,18.0,4.0,4.9,9729.666666666666,33.0,206.16333333333333,108.86208,57.0,26.333333333333332,7.233333333333333,5.133333333333334,10.583333333333334,0.017333333333333333,0.18733333333333327,0.29083333333333333,0.6425,0.23450000000000001
Khris Middleton,66.0,44.0,22.0,32.4,20.1,6.8,15.5,44.3,2.5,6.6,37.3,3.9,4.4,89.0,0.6,4.8,5.4,5.4,2.9,1.2,0.3,2.4,36.1,4.0,0.0,4.6,9873.857142857143,30.0,202.11142857142858,103.22457942857143,68.0,18.0,5.114285714285714,3.9857142857142853,6.171428571428572,0.019857142857142858,0.13942857142857143,0.23557142857142854,0.5764285714285714,0.1837142857142857
Klay Thompson,32.0,17.0,15.0,29.4,20.4,7.7,17.9,42.9,3.6,9.3,38.5,1.4,1.6,90.2,0.5,3.4,3.9,2.8,1.3,0.5,0.5,1.7,30.9,0.0,0.0,2.1,9362.6,30.0,200.66,97.52228,77.2,21.52,3.66,2.4,11.959999999999999,0.01559999999999998,0.09219999999999999,0.25739999999999996,0.5900000000000001,0.10639999999999998
Kristaps Porzingis,51.0,26.0,25.0,29.0,20.2,6.9,15.0,45.9,1.5,4.9,31.0,4.9,5.6,86.7,2.0,6.1,8.1,2.3,1.6,0.7,1.6,2.7,38.9,15.0,0.0,0.6,10037.8,26.0,220.97999999999996,108.86208000000002,57.2,19.119999999999997,7.9,1.48,0.9400000000000001,0.05599999999999998,0.19539999999999996,0.2632,0.5472,0.0762
Kyrie Irving,29.0,14.0,15.0,37.6,27.4,10.0,21.2,46.9,3.4,8.2,41.8,4.1,4.4,91.5,0.6,3.8,4.4,5.8,2.5,1.4,0.6,2.8,44.8,2.0,0.0,4.2,9886.42857142857,30.0,189.77428571428572,87.80245142857143,57.285714285714285,24.142857142857142,4.0285714285714285,5.728571428571429,4.8999999999999995,0.026571428571428555,0.09399999999999999,0.2934285714285714,0.5877142857142857,0.2827142857142857
LaMelo Ball,75.0,39.0,36.0,32.3,20.1,7.2,16.7,42.9,2.9,7.5,38.9,2.8,3.2,87.2,1.4,5.2,6.7,7.6,3.3,1.6,0.4,3.2,42.2,23.0,5.0,1.3,11589.0,20.0,198.12,81.64656,51.0,15.7,5.9,6.1,-3.1,0.0409999999999999,0.161,0.247,0.539,0.322
LeBron James,56.0,25.0,31.0,37.2,30.3,11.4,21.8,52.4,2.9,8.0,35.9,4.5,6.0,75.6,1.1,7.1,8.2,6.2,3.5,1.3,1.1,2.2,53.0,21.0,6.0,-2.1,9876.285714285714,37.0,203.9257142857143,113.398,66.85714285714286,26.02857142857143,7.8,8.328571428571427,7.114285714285714,0.03171428571428569,0.1927142857142857,0.3101428571428571,0.596,0.39599999999999996
Luka Doncic,65.0,44.0,21.0,35.4,28.399999999999995,9.9,21.600000000000005,45.70000000000001,3.1,8.8,35.3,5.599999999999999,7.5,74.4,0.9,8.3,9.1,8.7,4.5,1.2,0.6,2.2,53.1,44.0,10.0,2.2,11122.333333333334,23.0,200.66,102.511792,66.33333333333333,25.900000000000002,8.4,7.8,2.033333333333333,0.032,0.20799999999999993,0.3336666666666666,0.5723333333333334,0.39866666666666667
Malcolm Brogdon,36.0,14.0,22.0,33.5,19.1,6.8,15.1,44.8,1.6,5.2,31.2,4.0,4.6,85.6,0.9,4.2,5.1,5.9,2.1,0.8,0.4,2.0,35.6,6.0,1.0,0.0,10434.4,29.0,195.58,101.3324528,59.4,15.3,4.16,4.720000000000001,2.6199999999999997,0.027399999999999942,0.10859999999999996,0.21659999999999996,0.5698000000000001,0.2364
Miles Bridges,80.0,41.0,39.0,35.5,20.2,7.5,15.199999999999998,49.1,1.8999999999999997,5.8,33.1,3.2999999999999994,4.2,80.2,1.1,5.900000000000001,7.0,3.7999999999999994,1.8999999999999997,0.9,0.8000000000000002,2.4,37.6,15.0,0.0,1.8,11096.666666666666,24.0,198.96666666666667,102.0582,70.33333333333333,11.066666666666668,5.2,1.7333333333333334,-4.366666666666666,0.039999999999999966,0.148,0.171,0.5643333333333334,0.09533333333333334
Nikola Jokic,74.0,46.0,28.0,33.5,27.100000000000005,10.3,17.7,58.29999999999999,1.3,3.9,33.7,5.1,6.3,81.0,2.7999999999999994,11.0,13.800000000000002,7.900000000000001,3.7999999999999994,1.5,0.9,2.6,58.6,66.0,19.0,6.0,10192.666666666666,27.0,210.39666666666668,118.53870933333333,75.5,18.599999999999998,9.799999999999999,6.0,5.083333333333333,0.09366666666666666,0.24949999999999997,0.25,0.611,0.30266666666666664
Norman Powell,45.0,15.0,30.0,32.4,19.0,6.2,13.4,46.1,2.4,5.599999999999999,41.9,4.2,5.2,81.1,0.4000000000000001,2.7999999999999994,3.2000000000000006,2.1,1.5,0.9,0.5,2.4,28.7,0.0,0.0,-4.9,10194.0,29.0,192.1933333333333,97.52227999999998,62.666666666666664,10.450000000000001,2.5500000000000003,1.4333333333333333,2.216666666666667,0.018166666666666668,0.10683333333333334,0.19816666666666669,0.5705,0.1035
Pascal Siakam,68.0,40.0,28.0,37.9,22.8,8.8,17.8,49.4,1.1,3.2,34.4,4.2,5.6,74.9,1.9,6.6,8.5,5.3,2.7,1.3,0.6,3.3,43.9,30.0,2.0,3.8,10387.6,28.0,205.74,104.32616,66.4,14.539999999999997,5.86,2.68,6.26,0.0512,0.16160000000000002,0.20579999999999998,0.5602,0.1316
Paul George,31.0,18.0,13.0,34.8,24.3,8.6,20.5,42.1,2.9,8.3,35.4,4.1,4.8,85.8,0.4,6.5,6.9,5.7,4.1,2.2,0.4,2.4,44.8,7.0,0.0,3.0,9870.714285714286,32.0,205.0142857142857,99.79024,60.0,21.47142857142857,6.214285714285714,3.557142857142857,6.442857142857143,0.029428571428571425,0.17014285714285712,0.29128571428571426,0.568,0.17742857142857144
RJ Barrett,70.0,33.0,37.0,34.5,20.0,7.0,17.1,40.8,2.0,5.8,34.2,4.1,5.8,71.4,0.9,4.9,5.8,3.0,2.2,0.6,0.2,2.0,31.9,4.0,0.0,-2.1,11322.5,22.0,198.12,97.068688,64.0,15.950000000000001,5.4,2.8,-3.1999999999999997,0.027,0.132,0.23099999999999996,0.507,0.1305
Russell Westbrook,78.0,31.0,47.0,34.3,18.5,7.0,15.8,44.4,1.0,3.4,29.8,3.4,5.1,66.7,1.4,6.0,7.4,7.1,3.8,1.0,0.3,3.0,37.8,28.0,10.0,-2.7,9862.142857142857,33.0,190.5,90.7184,71.85714285714286,25.842857142857145,9.485714285714286,9.87142857142857,4.5285714285714285,0.04914285714285714,0.2158571428571428,0.33499999999999996,0.5305714285714286,0.4517142857142857
Shai Gilgeous-Alexander,56.0,16.0,40.0,34.7,24.5,8.5,18.8,45.29999999999999,1.6000000000000003,5.3,30.0,5.900000000000001,7.2,81.0,0.6999999999999998,4.3,5.0,5.900000000000001,2.7999999999999994,1.3,0.8000000000000002,2.5,42.79999999999999,6.0,1.0,-4.7,10975.333333333334,23.0,197.27333333333334,81.79775733333334,62.333333333333336,17.833333333333332,4.466666666666667,4.166666666666667,-2.066666666666667,0.02033333333333333,0.11433333333333333,0.2333333333333333,0.5816666666666667,0.21266666666666667
Stephen Curry,64.0,45.0,19.0,34.5,25.5,8.4,19.1,43.7,4.5,11.7,38.0,4.3,4.7,92.3,0.5,4.7,5.2,6.3,3.2,1.3,0.4,2.0,43.1,12.0,2.0,8.0,9882.714285714286,34.0,190.5,85.53449142857143,60.857142857142854,26.52857142857143,5.042857142857143,6.385714285714286,9.785714285714286,0.022857142857142843,0.1285714285714286,0.2991428571428571,0.6369999999999999,0.29928571428571427
Terry Rozier,73.0,38.0,35.0,33.7,19.3,7.099999999999999,16.0,44.4,3.0,8.1,37.4,2.1,2.4,85.2,0.8000000000000002,3.5,4.3,4.5,1.3,1.3,0.3,1.6000000000000003,34.7,3.0,1.0,1.0,10131.833333333334,28.0,186.68999999999997,86.18248,67.33333333333333,11.0,3.6833333333333336,2.8000000000000003,-2.716666666666667,0.03183333333333332,0.13283333333333333,0.19966666666666663,0.49016666666666664,0.19033333333333333
Trae Young,76.0,40.0,36.0,34.9,28.399999999999995,9.4,20.3,46.0,3.1,8.0,38.2,6.599999999999999,7.3,90.40000000000002,0.6999999999999998,3.1,3.7000000000000006,9.7,4.0,0.9,0.10000000000000002,1.7,46.5,42.0,0.0,2.1,10988.333333333334,23.0,186.26666666666665,81.64656,68.0,24.666666666666668,3.966666666666667,8.933333333333334,-2.0,0.018666666666666634,0.09500000000000001,0.31199999999999994,0.5743333333333333,0.413
Tyler Herro,66.0,44.0,22.0,32.6,20.7,7.6,17.0,44.7,2.7,6.7,39.9,2.9,3.3,86.8,0.5,4.5,5.0,4.0,2.6,0.7,0.1,1.4,32.4,3.0,0.0,3.6,11272.5,22.0,195.58,88.45044,54.5,14.3,4.55,2.8,-2.3,0.013,0.1375,0.219,0.5465,0.1575
Zach LaVine,67.0,37.0,30.0,34.7,24.4,8.4,17.7,47.6,2.8,7.1,38.9,4.8,5.6,85.3,0.3,4.3,4.6,4.5,2.6,0.6,0.3,1.8,37.0,0.0,0.0,-0.4,9878.142857142857,27.0,195.94285714285715,86.96006628571429,58.714285714285715,19.47142857142857,3.914285714285714,3.757142857142857,-6.771428571428571,0.0157142857142857,0.11585714285714285,0.2681428571428571,0.559142857142857,0.20271428571428568
